beginTime,endTime,name,same,diffLoc,diffType
3.52844,5.896009,put-tup,2,m,p
6.109853,8.33995,kep-keb,2,f,v
9.225879,12.433552,fal-fal,1,s,s
12.769594,16.099464,ban-man,2,i,m
16.435506,19.520982,wid-wid,1,s,s
19.765376,22.789754,kawt-kaws,2,f,m
23.232718,26.241821,gak-gak,1,s,s
26.875718,29.2051,nap-nap,1,s,s
30.266687,32.871012,saip-saip,1,s,s
33.8715,36.445276,han-han,1,s,s
37.659609,40.294484,bim-mib,2,m,m
41.791398,43.884023,pef-bef,2,i,v
44.999071,47.809604,faim-faim,1,s,s
61.862267,64.080907,pub-pum,2,f,m
66.658502,69.407936,fes-sef,2,m,p
70.454248,72.928739,pab-pab,1,s,s
74.081974,76.480091,kib-tib,2,i,p
77.625689,80.436221,seng-sen,2,f,p
81.74984,84.331253,veid-veid,1,s,s
85.545586,87.523651,bip-bip,1,s,s
88.95183,91.617253,tav-tav,1,s,s
92.984333,95.779591,daib-naib,2,i,m
96.787717,99.208746,luf-luf,1,s,s
100.491815,102.760098,lup-lut,2,f,p
109.67187,112.268558,kig-gik,2,m,v
113.03229,115.292935,fik-fik,1,s,s
116.484357,118.928298,baip-daip,2,i,p
124.763208,127.497368,mert-mert,1,s,s
128.642965,131.445861,hawg-hawg,1,s,s
132.675469,135.272156,gen-gen,1,s,s
136.280282,139.060265,dut-tud,2,m,v
140.671739,143.337163,tawk-dawk,2,i,v
144.834077,147.675159,teid-teid,1,s,s
149.996903,152.647052,nung-nung,1,s,s
153.342048,155.831813,taif-taiv,2,f,v
157.133976,159.925415,tus-sut,2,m,m
163.744074,166.753176,sawd-tawd,2,i,m
167.501633,170.770405,faib-faib,1,s,s
171.442489,174.986204,fowv-vowf,2,m,v
182.440225,185.151473,lep-lep,1,s,s
186.381081,189.332904,bap-bap,1,s,s
189.7415,192.261815,lop-nop,2,i,m
193.621257,196.447064,fod-fon,2,f,m
197.103874,199.578364,nuk-nug,2,f,v
200.280997,203.328287,laib-laib,1,s,s
204.160754,207.154583,deig-geid,2,m,p
208.620947,211.904994,sawk-sawk,1,s,s
212.897845,215.681647,teis-teis,1,s,s
217.021996,219.435388,keb-keb,1,s,s
220.932302,223.681736,heip-heip,1,s,s
224.964806,228.019732,dern-nerd,2,m,m
235.595951,238.406483,nis-nis,1,s,s
239.38406,242.652831,kerp-gerp,2,i,v
243.080521,246.563138,faig-faid,2,f,p
247.082475,250.290148,sen-sen,1,s,s
251.114979,254.81144,vil-vin,2,f,m
255.178031,258.630098,peib-beip,2,m,v
259.852069,263.090291,kab-kab,1,s,s
263.915122,267.367189,min-nim,2,m,p
268.16147,271.613537,vul-zul,2,i,p
271.949579,275.462745,vim-vin,2,f,p
276.379223,279.388326,fowt-fowd,2,f,v
281.450401,283.970716,puk-puk,1,s,s
284.688623,287.636628,dis-dis,1,s,s
288.537831,291.760779,teib-teib,1,s,s
292.173194,295.243395,nap-nap,1,s,s
296.0835,299.566117,miv-niv,2,i,p
299.902159,302.498846,nef-nef,1,s,s
310.350008,313.756251,laen-nael,2,m,m
314.504709,317.284692,daib-daib,1,s,s
325.563543,328.129682,nuf-nuf,1,s,s
329.809892,333.109212,feib-veib,2,i,v
