PictureName,correctResp,conditionType
hat-cat,1,PR
fan-van,1,PR
bat-back,2,PR
map-cap,1,PR
well-bell,1,SS
suit-boot,1,DS
cart-card,2,NR
page-cage,1,SS
fish-dish,1,SS
comb-coat,2,NR
nail-veil,1,DS
bone-bow,2,NR
lamb-lamp,2,NR
goat-goal,2,NR
seed-shed,2,NR
rope-soap,1,DS
whale-wall,2,NR
book-hook,1,SS
cake-cane,2,NR
core-door,1,DS
boat-boot,2,NR
head-bed,1,DS
king-ring,1,SS
heart-harp,2,NR
dessert-desert,2,NR
bead-seed,1,DS
phone-bone,1,SS
bull-bell,2,NR
rake-cake,1,SS
hinge-king,2,NR
cart-heart,1,DS
hook-hood,2,NR
robe-rope,2,NR
pole-bowl,1,DS
dome-comb,1,DS
wall-ball,1,SS
fist-fish,2,NR
note-goat,1,DS
name-nail,2,NR
coat-boat,1,SS
cart-corn,2,NR
bead-bear,2,NR
fork-cork,1,SS
cage-cake,2,NR
