beginTime,endTime,name,same,conditionType
4.797636,6.909337,bowl-mole,1,pr
17.342807,19.417461,flare-year,2,pc
21.57084,23.589923,glove-wove,2,spc
24.715237,26.850093,creak-break,2,spc
27.706814,30.059323,mood-brood,1,spr
30.94846,33.124994,dome-bomb,2,pc
34.268832,36.987184,match-hatch,1,spr
44.368875,46.60098,card-ward,2,spc
48.064352,50.282564,tint-pint,2,spc
51.236534,53.315819,bait-skate,1,pr
56.886261,59.294341,hive-dive,1,spr
60.248311,62.489678,pool-wool,2,spc
63.175054,65.768371,ghost-roast,1,pr
66.490795,68.741424,cheat-sweat,2,spc
69.454586,71.890452,four-sore,1,pr
73.613155,76.011974,zoo-though,2,pc
76.94742,79.040597,pea-play,2,pc
79.994568,82.708289,prose-pose,1,spr
83.439974,85.699865,head-bed,1,pr
86.598264,88.793322,chew-hoe,2,pc
89.997362,92.155372,call-ball,1,spr
93.174175,95.980514,sauce-worse,2,pc
97.156769,99.537064,date-pleat,2,pc
100.815198,102.936161,dull-hull,1,spr
103.853084,106.131498,love-dove,1,spr
113.068621,115.439654,boot-flute,1,pr
122.108183,124.720024,sort-part,2,pc
126.220443,128.739665,boast-cost,2,pc
134.250464,136.362165,fool-tool,1,spr
137.862584,140.122475,rush-gush,1,spr
141.326515,143.623452,tone-gone,2,spc
144.892325,147.207787,you-two,1,pr
148.93049,151.329309,doe-cow,2,pc
152.449992,154.867334,wart-fort,1,pr
156.988297,159.294497,jute-foot,2,pc
160.405918,162.758427,shoe-screw,1,pr
163.897634,165.944502,hole-owl,2,pc
166.926258,169.417695,yard-hard,1,spr
170.362403,172.826054,town-gown,1,spr
173.715192,176.11401,food-blood,2,spc
177.132813,179.485322,tweak-freak,1,spr
180.32815,182.782539,horse-force,1,pr
183.616105,186.172375,bond-hand,2,pc
199.477017,201.723015,see-quay(kee),1,pr
208.085904,210.429151,bone-cone,1,spr
211.420168,213.63375,hush-bush,2,spc
214.643291,216.680897,gull-full,2,spc
217.634867,220.126304,fall-shall,2,spc
221.015441,223.284594,bear-chair,1,pr
224.308028,226.933761,wand-pond,1,pr
228.545322,231.050652,wed-bead,2,pc
232.801141,235.010091,low-toe,1,pr
236.001109,238.562009,batch-watch,2,spc
239.534503,241.752715,pleat-treat,1,spr
242.817828,245.068456,comb-gnome,1,pr
246.04095,248.384197,five-give,2,spc
249.421524,251.746248,mint-hint,1,spr
257.219999,259.507675,down-flown,2,spc
260.443121,263.323556,rose-lose,2,spc
264.175646,266.426274,paw-hour,2,pc
