beginTime,endTime,name,practice,wordOrNot,letter1,letter2,letter3,letter4,letter5,correctChoice
4.927032,5.723103,fate,1,1,l,n,d,m,t,t
6.368565,7.272213,time,1,1,b,p,m,l,d,m
8.3695,9.230117,robe,0,1,t,q,b,p,m,b
10.090734,10.951351,pat,0,1,f,t,p,l,d,t
15.017766,15.899898,jeev,0,0,z,s,u,f,v,v
16.889608,17.900833,boin,0,0,d,u,m,t,n,n
18.481749,19.622066,toad,0,1,t,l,q,d,m,d
20.267529,21.30027,moik,0,0,d,t,k,g,h,k
21.859671,22.892411,hiss,0,1,s,z,d,e,t,s
23.83909,24.828799,pot,0,1,t,p,s,d,f,t
25.667901,26.65761,zeem,0,0,w,d,b,m,n,m
27.582773,28.593998,cat,0,1,f,t,d,c,b,t
29.368553,30.401294,code,0,1,l,k,t,b,d,d
31.326457,32.380713,need,0,1,t,d,p,n,q,d
33.499515,34.467709,bat,0,1,f,g,t,s,d,t
35.500449,36.511674,fod,0,0,d,n,t,q,k,d
37.350776,38.770794,tayz,0,0,s,d,x,z,t,z
39.674441,40.62112,god,0,1,t,v,d,g,q,d
41.503252,42.514477,rife,0,0,v,r,p,z,f,f
43.590249,44.816628,sart,0,0,f,t,p,g,d,t
45.892399,46.946655,pan,0,1,t,u,l,n,d,n
47.828787,48.818497,safe,0,1,l,s,r,f,v,f
50.001845,50.927008,jeg,0,0,y,k,b,v,g,g
51.723079,52.648242,pail,0,1,l,i,d,n,z,l
53.767044,54.627661,pack,0,1,d,t,k,p,h,k
55.724948,56.60708,voon,0,0,u,n,m,b,d,n
57.338604,58.242252,moif,0,0,v,s,d,r,f,f
59.253477,60.028032,big,0,1,g,b,d,y,l,g
61.146834,62.028967,right,0,1,d,t,s,m,r,t
68.096316,69.215118,dab,0,1,q,n,b,d,m,d
71.366661,72.463947,hoit,0,0,t,r,p,v,d,t
72.722132,73.733357,lean,0,1,p,d,u,n,l,n
74.314274,75.433076,nard,0,0,b,k,d,t,q,d
76.143085,77.218856,bad,0,1,t,d,b,q,k,d
78.036442,79.047667,buzz,0,1,x,d,s,t,z,z
79.69313,80.596777,kess,0,0,f,e,d,s,z,s
81.586487,82.576196,zill,0,0,t,l,n,d,i,l
83.350752,84.426523,nod,0,1,d,t,q,k,n,d
85.394717,86.31988,face,0,1,f,e,d,t,s,s
87.288074,87.976568,lub,0,0,t,d,b,q,p,b
89.009308,89.826894,rum,0,1,w,b,n,m,t,m
90.967212,91.935406,back,0,1,g,t,h,d,k,k
92.623899,93.484516,lane,0,1,n,u,k,m,l,n
94.237556,95.291812,main,0,1,d,n,m,t,u,n
96.47516,97.486385,cone,0,1,n,k,h,m,d,n
101.638862,102.736149,leave,0,1,z,f,v,u,k,v
105.425577,106.86711,made,0,1,q,t,k,d,n,d
