beginTime,endTime,name,practice,letter1,letter2,letter3,letter4,letter5
4.927032,5.723103,Fate,1,l,n,d,m,t

6.368565,7.272213,Time,1,b,p,m,l,d
8.3695,9.230117,Robe,0,t,q,b,p,m
10.090734,10.951351,pat,0,f,t,p,l,d
15.017766,15.899898,jeev,0,z,s,u,f,v
16.889608,17.900833,boin,0,d,u,m,t,n
18.481749,19.622066,toad,0,t,l,q,d,m
20.267529,21.30027,moik,0,d,t,k,g,h
21.859671,22.892411,hiss,0,s,z,d,e,t
23.83909,24.828799,pot,0,t,p,s,d,f
25.667901,26.65761,zeem,0,w,d,b,m,n
27.582773,28.593998,cat,0,f,t,d,c,b
29.368553,30.401294,code,0,l,k,t,b,d
31.326457,32.380713,need,0,t,d,p,n,q
33.499515,34.467709,bat,0,f,g,t,s,d
35.500449,36.511674,fod,0,d,n,t,q,k
37.350776,38.770794,tayz,0,s,d,x,z,t
39.674441,40.62112,god,0,t,v,d,g,q
41.503252,42.514477,rife,0,v,r,p,z,f
43.590249,44.816628,sart,0,f,t,p,g,d
45.892399,46.946655,pan,0,t,u,l,n,d
47.828787,48.818497,safe,0,l,s,r,f,v
50.001845,50.927008,jeg,0,y,k,b,v,g
51.723079,52.648242,pail,0,l,i,d,n,z
53.767044,54.627661,pack,0,d,t,k,p,h
55.724948,56.60708,voon,0,u,n,m,b,d
57.338604,58.242252,moif,0,v,s,d,r,f
59.253477,60.028032,big,0,g,b,d,y,l
61.146834,62.028967,right,0,d,t,s,m,r
68.096316,69.215118,dab,0,q,n,b,d,m
71.366661,72.463947,hoit,0,t,r,p,v,d
72.722132,73.733357,lean,0,p,d,u,n,l
74.314274,75.433076,nard,0,b,k,d,t,q
76.143085,77.218856,bad,0,t,d,b,q,k
78.036442,79.047667,buzz,0,x,d,s,t,z
79.69313,80.596777,kess,0,f,e,d,s,z
81.586487,82.576196,zill,0,t,l,n,d,i
83.350752,84.426523,nod,0,d,t,q,k,n
85.394717,86.31988,face,0,f,e,d,t,s
87.288074,87.976568,lub,0,t,d,b,q,p
89.009308,89.826894,rum,0,w,b,n,m,t
90.967212,91.935406,back,0,g,t,h,d,k
92.623899,93.484516,lane,0,n,u,k,m,l
94.237556,95.291812,main,0,d,n,m,t,u
96.47516,97.486385,cone,0,n,k,h,m,d
101.638862,102.736149,leave,0,z,f,v,u,k
105.425577,106.86711,made,0,q,t,k,d,n
