beginTime,endTime,name,same,freq,diffLoc,diffType
16.833753,19.131694,tack-cat,2,,m,p
20.020142,22.151081,bed-bet,2,,f,v
23.08629,25.838474,coat-coat,1,h,s,s
26.660122,29.452387,might-night,2,,i,p
35.23064,37.628782,tip-tip,1,h,s,s
38.57735,40.78845,cup-cut,2,,f,p
41.90402,44.355603,face-face,1,h,s,s
45.431092,47.749073,tick-tick,1,l,s,s
48.657562,51.543348,name-name,1,h,s,s
52.398396,54.803217,cub-cub,1,l,s,s
55.691665,58.470571,kneel-lean,2,,m,m
59.47258,62.004323,pole-bowl,2,,i,v
63.133253,65.805277,bead-bead,1,l,s,s
75.374464,77.732525,main-maid,2,,f,m
78.824715,81.409899,bud-dub,2,,m,p
82.138025,84.85681,rope-rope,1,l,s,s
85.725218,88.290361,tail-sail,2,,i,m
89.29237,91.904274,cap-cab,2,,f,v
92.953044,95.558267,zeal-zeal,1,l,s,s
96.680517,98.904978,goal-goal,1,h,s,s
107.709298,110.274441,beam-beam,1,h,s,s
111.229689,113.574391,goal-coal,2,,i,v
118.564396,120.802216,tuck-tuck,1,l,s,s
122.031348,124.716732,fan-fang,2,,f,p
125.678661,127.976601,debt-ted,2,,m,v
128.824969,131.329992,road-road,1,h,s,s
132.24516,134.763543,deck-neck,2,,i,m
135.778912,138.116933,hiss-hiss,1,l,s,s
139.305984,141.957968,tomb-tomb,1,l,s,s
143.29398,145.585241,tape-tape,1,h,s,s
146.480369,148.871831,cap-pack,2,,m,p
149.740239,152.438983,van-fan,2,,i,v
153.414272,156.006136,god-god,1,h,s,s
156.654102,159.446367,ted-ted,1,l,s,s
160.328135,162.913319,write-rice,2,,f,m
164.336171,167.161837,dune-nude,2,,m,m
168.210607,170.568668,lip-nip,2,,i,m
171.463796,174.11578,need-need,1,h,s,s
181.878011,184.249432,dab-bad,2,,m,p
184.970879,187.188659,feed-feed,1,h,s,s
188.36435,190.902773,rung-rung,1,l,s,s
197.19539,199.773893,bat-mat,2,,i,m
200.775902,203.447926,cone-comb,2,,f,p
204.369775,206.794637,pick-pig,2,,f,v
207.596244,209.914225,safe-safe,1,l,s,s
211.036475,213.581578,dean-need,2,,m,m
214.456666,216.961689,pit-pit,1,l,s,s
217.856817,220.261639,tone-tone,1,h,s,s
221.337129,223.808751,pick-pick,1,l,s,s
224.837481,227.362543,gown-gown,1,l,s,s
228.304432,230.822815,kit-tick,2,,m,p
231.998506,234.042604,life-life,1,h,s,s
241.123468,243.388009,gut-cut,2,,i,v
244.303177,246.84828,roam-robe,2,,f,m
253.187658,255.63256,dune-dune,1,l,s,s
263.889115,266.000014,pail-pain,2,,f,m
267.122264,269.540446,dote-toad,2,,m,v
270.181732,273.027438,night-night,1,h,s,s
273.535122,276.140346,nail-lane,2,,m,m
277.088915,279.801019,seed-feed,2,,i,p
280.522466,282.940648,back-bat,2,,f,p
283.541853,286.000116,leaf-leave,2,,f,v
286.721562,288.872542,bug-bug,1,l,s,s
289.74095,292.453054,lane-lane,1,h,s,s
293.227941,295.712924,back-back,1,h,s,s
303.221312,305.586053,fawn-fawn,1,l,s,s
306.534622,309.300167,bill-pill,2,,i,v
310.262096,313.027641,meat-meat,1,h,s,s
313.722367,316.394391,pat-tap,2,,m,p
317.35632,319.721062,bomb-bomb,1,h,s,s
320.549389,323.221413,moan-moan,1,l,s,s
324.250143,326.922167,time-dime,2,,i,v
